BOCI Asia Limited,BNP Paribas Securities (Asia) Limited,1
BOCI Asia Limited,China Galaxy International Securities (Hong Kong) Co. Limited,1
BOCI Asia Limited,China Securities (International) Corporate Finance Company Limited,1
CMBC Securities Company Limited,BOCI Asia Limited,1
CMBC Securities Company Limited,BOCOM International Securities Limited,1
CMBC Securities Company Limited,CLSA Limited,1
CMBC Securities Company Limited,Guotai Junan Securities (Hong Kong) Limited,1
CMBC Securities Company Limited,Livermore Holdings Limited,2
CMBC Securities Company Limited,SPDB International Capital Limited,2
CMBC Securities Company Limited,China Merchants Securities (HK) Co. Limited,1
CMBC Securities Company Limited,China Securities (International) Corporate Finance Company Limited,2
CMBC Securities Company Limited,CMB International Capital Limited,2
CMBC Securities Company Limited,China International Capital Corporation Hong Kong Securities Limited,1
CMBC Securities Company Limited,CCB International Capital Limited,1
CMBC Securities Company Limited,DBS Asia Capital Limited,1
ABCI Capital Limited,Huatai Financial Holdings (Hong Kong) Limited,5
ABCI Capital Limited,TFI Securities and Futures Limited,1
ABCI Capital Limited,China Securities (International) Corporate Finance Company Limited,2
ABCI Capital Limited,ICBC International Securities Limited,2
ABCI Capital Limited,Maxa Capital Limited,1
ABCI Capital Limited,BNP Paribas Securities (Asia) Limited,2
ABCI Capital Limited,China International Capital Corporation Hong Kong Securities Limited,3
ABCI Capital Limited,Morgan Stanley Asia Limited,2
ABCI Capital Limited,BOCOM International Securities Limited,1
ABCI Capital Limited,CLSA Limited,6
ABCI Capital Limited,Fosun International Securities Limited,1
ABCI Capital Limited,CCB International Capital Limited,6
ABCI Capital Limited,Guosen Securities (HK) Capital Company Limited,1
ABCI Capital Limited,Guotai Junan Securities (Hong Kong) Limited,1
ABCI Capital Limited,BOCI Asia Limited,3
ABCI Capital Limited,Deutsche Bank AG,3
ABCI Capital Limited,Shenwan Hongyuan Securities (H.K.) Limited,1
ABCI Capital Limited,CMB International Capital Limited,2
ABCI Capital Limited,GF Securities (Hong Kong) Brokerage Limited,1
ABCI Capital Limited,China Galaxy International Securities (Hong Kong) Co. Limited,2
TFI Securities and Futures Limited,ABCI Capital Limited,1
TFI Securities and Futures Limited,Huatai Financial Holdings (Hong Kong) Limited,1
Sinolink Securities (Hong Kong) Company Limited,BOCI Asia Limited,1
Sinolink Securities (Hong Kong) Company Limited,CLSA Limited,1
Sinolink Securities (Hong Kong) Company Limited,Maxa Capital Limited,1
China Securities (International) Corporate Finance Company Limited,China International Capital Corporation Hong Kong Securities Limited,4
China Securities (International) Corporate Finance Company Limited,CMB International Capital Limited,5
China Securities (International) Corporate Finance Company Limited,Huatai Financial Holdings (Hong Kong) Limited,2
China Securities (International) Corporate Finance Company Limited,CLSA Limited,6
China Securities (International) Corporate Finance Company Limited,GF Securities (Hong Kong) Brokerage Limited,2
China Securities (International) Corporate Finance Company Limited,ABCI Capital Limited,2
China Securities (International) Corporate Finance Company Limited,ICBC International Securities Limited,2
China Securities (International) Corporate Finance Company Limited,Maxa Capital Limited,1
China Securities (International) Corporate Finance Company Limited,China Merchants Securities (HK) Co. Limited,3
China Securities (International) Corporate Finance Company Limited,Shenwan Hongyuan Securities (H.K.) Limited,1
China Securities (International) Corporate Finance Company Limited,CCB International Capital Limited,3
China Securities (International) Corporate Finance Company Limited,Haitong International Securities Company Limited,1
China Securities (International) Corporate Finance Company Limited,CMBC Securities Company Limited,2
China Securities (International) Corporate Finance Company Limited,Livermore Holdings Limited,1
China Securities (International) Corporate Finance Company Limited,DBS Asia Capital Limited,1
China Securities (International) Corporate Finance Company Limited,SPDB International Capital Limited,1
China Securities (International) Corporate Finance Company Limited,Zero2IPO Securities Limited,1
China Securities (International) Corporate Finance Company Limited,Shanxi Securities International Limited,1
China Securities (International) Corporate Finance Company Limited,Corporate Finance Company Limited,1
China Securities (International) Corporate Finance Company Limited,Guotai Junan Securities (Hong Kong) Limited,1
China Securities (International) Corporate Finance Company Limited,BNP Paribas Securities (Asia) Limited,1
China Securities (International) Corporate Finance Company Limited,BOCI Asia Limited,1
China Securities (International) Corporate Finance Company Limited,China Galaxy International Securities (Hong Kong) Co. Limited,1
Shenwan Hongyuan Securities (H.K.) Limited,BOCI Asia Limited,1
Shenwan Hongyuan Securities (H.K.) Limited,CMB International Capital Limited,2
Shenwan Hongyuan Securities (H.K.) Limited,China Securities (International) Corporate Finance Company Limited,1
Shenwan Hongyuan Securities (H.K.) Limited,China International Capital Corporation Hong Kong Securities Limited,1
Shenwan Hongyuan Securities (H.K.) Limited,Huatai Financial Holdings (Hong Kong) Limited,1
Shenwan Hongyuan Securities (H.K.) Limited,ICBC International Securities Limited,1
Shenwan Hongyuan Securities (H.K.) Limited,ABCI Capital Limited,1
Shenwan Hongyuan Securities (H.K.) Limited,CLSA Limited,1
DBS Asia Capital Limited,China International Capital Corporation Hong Kong Securities Limited,3
DBS Asia Capital Limited,CLSA Limited,2
DBS Asia Capital Limited,CMB International Capital Limited,2
DBS Asia Capital Limited,GF Securities (Hong Kong) Brokerage Limited,1
DBS Asia Capital Limited,Daiwa Capital Markets Hong Kong Limited,1
DBS Asia Capital Limited,Zhongtai International Securities Limited,2
DBS Asia Capital Limited,CCB International Capital Limited,1
DBS Asia Capital Limited,China Securities (International) Corporate Finance Company Limited,1
DBS Asia Capital Limited,CMBC Securities Company Limited,1
DBS Asia Capital Limited,SPDB International Capital Limited,1
DBS Asia Capital Limited,BOCOM International Securities Limited,1
DBS Asia Capital Limited,China Galaxy International Securities (Hong Kong) Co. Limited,1
DBS Asia Capital Limited,Huatai Financial Holdings (Hong Kong) Limited,1
SDICS International Securities (Hong Kong) Limited,CCB International Capital Limited,1
SDICS International Securities (Hong Kong) Limited,CLSA Limited,2
SDICS International Securities (Hong Kong) Limited,SPDB International Capital Limited,1
SDICS International Securities (Hong Kong) Limited,CMB International Capital Limited,1
SDICS International Securities (Hong Kong) Limited,GF Securities (Hong Kong) Brokerage Limited,1
SDICS International Securities (Hong Kong) Limited,ICBC International Securities Limited,1
SDICS International Securities (Hong Kong) Limited,Yellow River Securities Limited,1
Deutsche Bank AG,Goldman Sachs (Asia) L.L.C.,1
Deutsche Bank AG,Huatai Financial Holdings (Hong Kong) Limited,4
Deutsche Bank AG,China International Capital Corporation Hong Kong Securities Limited,7
Deutsche Bank AG,CLSA Limited,6
Deutsche Bank AG,The Hongkong and Shanghai Banking Corporation Limited,3
Deutsche Bank AG,Macquarie Capital Limited,1
Deutsche Bank AG,ABCI Capital Limited,3
Deutsche Bank AG,BOCI Asia Limited,2
Deutsche Bank AG,CCB International Capital Limited,3
Deutsche Bank AG,Morgan Stanley Asia Limited,1
Deutsche Bank AG,Citigroup Global Markets Asia Limited,1
Deutsche Bank AG,Deutsche Bank AG,4
Deutsche Bank AG,Shanghai Banking Corporation Limited,2
Deutsche Bank AG,CMB International Capital Limited,1
Deutsche Bank AG,China Merchants Securities (HK) Co. Limited,3
Goldman Sachs (Asia) L.L.C.,Deutsche Bank AG,1
Goldman Sachs (Asia) L.L.C.,Huatai Financial Holdings (Hong Kong) Limited,2
Goldman Sachs (Asia) L.L.C.,Haitong International Securities Company Limited,1
Goldman Sachs (Asia) L.L.C.,Merrill Lynch (Asia Pacific) Limited,1
Goldman Sachs (Asia) L.L.C.,UBS AG Hong Kong Branch,1
Goldman Sachs (Asia) L.L.C.,CLSA Limited,1
Goldman Sachs (Asia) L.L.C.,J.P. Morgan Securities (Asia Pacific) Limited,1
ICBC International Securities Limited,ABCI Capital Limited,2
ICBC International Securities Limited,China Securities (International) Corporate Finance Company Limited,2
ICBC International Securities Limited,Maxa Capital Limited,1
ICBC International Securities Limited,China International Capital Corporation Hong Kong Securities Limited,1
ICBC International Securities Limited,Orient Securities (Hong Kong) Limited,1
ICBC International Securities Limited,CCB International Capital Limited,2
ICBC International Securities Limited,China Merchants Securities (HK) Co. Limited,1
ICBC International Securities Limited,CLSA Limited,2
ICBC International Securities Limited,Haitong International Securities Company Limited,1
ICBC International Securities Limited,CMB International Capital Limited,1
ICBC International Securities Limited,GF Securities (Hong Kong) Brokerage Limited,2
ICBC International Securities Limited,SDICS International Securities (Hong Kong) Limited,1
ICBC International Securities Limited,Yellow River Securities Limited,1
ICBC International Securities Limited,Shenwan Hongyuan Securities (H.K.) Limited,1
ICBC International Securities Limited,BOCOM International Securities Limited,1
Maxa Capital Limited,ABCI Capital Limited,1
Maxa Capital Limited,China Securities (International) Corporate Finance Company Limited,1
Maxa Capital Limited,ICBC International Securities Limited,1
Maxa Capital Limited,Sinolink Securities (Hong Kong) Company Limited,1
BNP Paribas Securities (Asia) Limited,ABCI Capital Limited,2
BNP Paribas Securities (Asia) Limited,China International Capital Corporation Hong Kong Securities Limited,2
BNP Paribas Securities (Asia) Limited,Huatai Financial Holdings (Hong Kong) Limited,2
BNP Paribas Securities (Asia) Limited,Morgan Stanley Asia Limited,1
BNP Paribas Securities (Asia) Limited,CLSA Limited,1
BNP Paribas Securities (Asia) Limited,BOCI Asia Limited,1
BNP Paribas Securities (Asia) Limited,CCB International Capital Limited,1
BNP Paribas Securities (Asia) Limited,China Galaxy International Securities (Hong Kong) Co. Limited,2
BNP Paribas Securities (Asia) Limited,China Securities (International) Corporate Finance Company Limited,1
BNP Paribas Securities (Asia) Limited,CMB International Capital Limited,1
Morgan Stanley Asia Limited,ABCI Capital Limited,2
Morgan Stanley Asia Limited,BNP Paribas Securities (Asia) Limited,1
Morgan Stanley Asia Limited,China International Capital Corporation Hong Kong Securities Limited,1
Morgan Stanley Asia Limited,Huatai Financial Holdings (Hong Kong) Limited,2
Morgan Stanley Asia Limited,BOCI Asia Limited,1
Morgan Stanley Asia Limited,CCB International Capital Limited,1
Morgan Stanley Asia Limited,Deutsche Bank AG,1
Morgan Stanley Asia Limited,CLSA Limited,2
BOCOM International Securities Limited,CLSA Limited,4
BOCOM International Securities Limited,CMBC Securities Company Limited,1
BOCOM International Securities Limited,Guotai Junan Securities (Hong Kong) Limited,1
BOCOM International Securities Limited,Livermore Holdings Limited,1
BOCOM International Securities Limited,SPDB International Capital Limited,1
BOCOM International Securities Limited,ABCI Capital Limited,1
BOCOM International Securities Limited,Fosun International Securities Limited,1
