company,oc_date,sponsors,others,document_url
"Coosea Smart Technology Company Limited","25/06/2025","","CLSA","https://www1.hkexnews.hk/app/sehk/2025/107471/documents/sehk25062500320.pdf"
"Delton Technology (Guangzhou) Inc.","25/06/2025","CLSA; The Hongkong and Shanghai Banking","GF Securities; Huatai","https://www1.hkexnews.hk/app/sehk/2025/107433/documents/sehk25062500424.pdf"
"Immvira Bioscience Inc.","25/06/2025","","Citi; CICC",""
"GigaDevice Semiconductor Inc.","23/06/2025","","CICC; Huatai","https://www1.hkexnews.hk/app/sehk/2025/107462/documents/sehk25061901349.pdf"
"PPLabs Technology Limited","20/06/2025","","ICBC; Shenwan Hongyuan","https://www1.hkexnews.hk/app/sehk/2025/107464/documents/sehk25062001211.pdf"
"Gpixel Changchun Microelectronics Inc.","19/06/2025","","CLSA; Guotai Junan","https://www1.hkexnews.hk/app/sehk/2025/107461/documents/sehk25061901057.pdf"
"Shanghai Able Digital Science&Tech Co., Ltd.","18/06/2025","","ABCI","https://www1.hkexnews.hk/app/sehk/2025/107458/documents/sehk25061801700.pdf"
"Beijing Haizhi Technology Group Co., Ltd.","17/06/2025","","CMB; BOCI Asia; Shenwan Hongyuan","https://www1.hkexnews.hk/app/sehk/2025/107452/documents/sehk25061701306.pdf"
"EpimAb Biotherapeutics Inc.","17/06/2025","","CLSA; CMB","https://www1.hkexnews.hk/app/sehk/2025/107454/documents/sehk25061701408.pdf"
"Beijing ESWIN Computing Technology Co., Ltd.","16/06/2025","CLSA; China Securities","GF Securities; Huatai","https://www1.hkexnews.hk/app/sehk/2025/107412/documents/sehk25061600799.pdf"
"Hope Sea Inc.","16/06/2025","","ABCI","https://www1.hkexnews.hk/app/sehk/2025/107450/documents/sehk25061601714.pdf"
"Yunnan Jinxun Resources Co., Ltd.","15/06/2025","Huatai","CLSA","https://www1.hkexnews.hk/app/sehk/2025/107419/documents/sehk25061500010.pdf"
"ALSCO Pooling Service Co., Ltd.","13/06/2025","China Securities","","https://www1.hkexnews.hk/app/sehk/2025/107436/documents/sehk25061301544.pdf"
"Xuanzhu Biopharmaceutical Co., Ltd.","13/06/2025","","CICC; CMB","https://www1.hkexnews.hk/app/sehk/2025/107438/documents/sehk25061301908.pdf"
"Ganzhou Hemay Pharmaceutical Co., Ltd.","12/06/2025","","SDICS; SPDB","https://www1.hkexnews.hk/app/sehk/2025/107411/documents/sehk25061200539.pdf"
"Jiangsu Riyu Photovoltaic New Material Co., Ltd.","12/06/2025","Guotai Junan","CLSA; ABCI; Guosen Securities Capital","https://www1.hkexnews.hk/app/sehk/2025/107407/documents/sehk25061201175.pdf"
"JoulWatt Technology Co., Ltd.","12/06/2025","CLSA","CMB; ICBC; Yellow River Securities; GF Securities; SDICS","https://www1.hkexnews.hk/app/sehk/2025/107413/documents/sehk25061200304.pdf"
"Unisplendour Corporation Limited","12/06/2025","China Securities; BNP Paribas; CMB","China Galaxy; CCB; BOCI Asia; ABCI","https://www1.hkexnews.hk/app/sehk/2025/107410/documents/sehk25061201279.pdf"
"CF PharmTech, Inc.","11/06/2025","","CLSA; CMB; CCB","https://www1.hkexnews.hk/app/sehk/2025/107434/documents/sehk25061101455.pdf"
"UISEE Technologies (Beijing) Co., Ltd.","11/06/2025","","CLSA; BOCOM; DBS; China Galaxy","https://www1.hkexnews.hk/app/sehk/2025/107405/documents/sehk25061101367.pdf"
