ticker,company,company_cn,type,date,shares,price_hkd,size_hkdm,sponsors,others,prospectus_url
"2193","Man King Holdings Limited","萬景控股有限公司","Global offering","19/06/2015","100000000","0.8","80","","","https://www1.hkexnews.hk/listedco/listconews/sehk/2015/0619/ltn20150619017.pdf"
"1466","Man Sang Jewellery Holdings Limited","民生珠寶控股有限公司","Global offering","30/09/2014","","","","REORIENT Financial Markets","","https://www1.hkexnews.hk/listedco/listconews/sehk/2014/0930/ltn20140930013.pdf"
"1746","Man Shun Group (Holdings) Limited","萬順集團","Global offering","28/06/2018","250000000","0.5","125","China Galaxy","Quasar Securities; Wellington Financial; Taijin Securities and Futures; Golden Rich Securities; TUS Corporate Finance","https://www1.hkexnews.hk/listedco/listconews/sehk/2018/0628/ltn20180628119.pdf"
"1561","Manfield Chemical Holdings Limited","萬輝化工控股有限公司","Global offering","17/11/2015","150000000","1","150","Altus Capital","Get Nice Securities; Pacific Foundation Securities","https://www1.hkexnews.hk/listedco/listconews/sehk/2015/1117/ltn20151117037.pdf"
"2180","ManpowerGroup Greater China Limited","萬寶盛華大中華有限公司","Global offering","27/06/2019","50000000","12.6","630","Huatai","CITIC; Orient Securities; ABCI; First Shanghai","https://www1.hkexnews.hk/listedco/listconews/sehk/2019/0627/ltn20190627033.pdf"
"6696","Many Idea Cloud Holdings Limited","多想雲控股有限公司","Global offering","28/10/2022","160000000","2.38","380.8","Zhongtai","Sunfund; CITIC; Zheshang International Financial Holdings; SPDB; BOCOM; Shenwan Hongyuan; China Industrial Securities; Guotai Junan; First Shanghai; Maxa Capital; Valuable Capital; West Bull Securities; Goldlink; Tiger Brokers; Livermore Holdings","https://www1.hkexnews.hk/listedco/listconews/sehk/2022/1028/2022102800015.pdf"
"1318","Mao Geping Cosmetics Co., Ltd.","毛戈平化妆品股份有限公司","Global offering","02/12/2024","70588200","29.8","2103.52836","CICC","China Galaxy; Huatai; Guotai Junan; CCB; ABCI; CMB; Tiger Brokers; Futu; Livermore Holdings","https://www1.hkexnews.hk/listedco/listconews/sehk/2024/1202/2024120200011.pdf"
"1896","Maoyan Entertainment","貓眼娛樂","Global offering","23/01/2019","132377000","20.4","2700.4908","Morgan Stanley; Bank of America","China Renaissance; CICC; UBS; China Securities; Mirae Asset Securities; CMB; Bank of China; ICBC; Haitong; Futu","https://www1.hkexnews.hk/listedco/listconews/sehk/2019/0123/ltn20190123021.pdf"
"2556","Marketingforce Management Ltd","邁富時管理有限公司","Global offering","07/05/2024","5949700","45","267.7365","CICC; CCB","North Beta International Securities; CMB; Beta International Securities; CEB; China Sunrise; Citrus Securities; Futu; Haitong; ICBC; Livermore Holdings; Roofer Securities; Shenwan Hongyuan; SPDB; Tiger Brokers; Zheshang International Financial Holdings","https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0507/2024050700011.pdf"
"2295","Maxicity Holdings Limited","豐城控股有限公司","Global offering","23/12/2012","","","","Kingsway; Grande Capital","","https://www1.hkexnews.hk/listedco/listconews/sehk/2021/1223/2021122300287.pdf"
